TERM_CODE|CAMPUS_CODE|CRN|COURSE_EFF_TERM_CODE|COLL_CODE|COLL_DESC|DEPT_CODE|DEPT_DESC|SUBJ_CODE|CRSE_NUMBER|COURSE_CODE|CSTA_CODE|CSTA_DESC|SSTS_CODE|SSTS_DESC|SECTION_TITLE|COURSE_TITLE|PTRM_CODE|PTRM_DESC|CREDIT_HOURS|GRADABLE_IND|GRADE_SCALE|GRADE_SCALE_DESC|BEST_OF_COMP|SUBSET_OF_COMP|MODULE_TOTAL_WEIGHT|MODULE_NONREFERAL_WEIGHT|MODULE_REFERAL_WEIGHT|PROBABLE_RATIO|INSTRUCTOR1_ID|INSTRUCTOR1_LAST_NAME|INSTRUCTOR1_FIRST_NAME|INSTRUCTOR1_MIDDLE_NAME|HAS_COMPONENTS|CURRENT_TERM|LEVEL_CODE|PROGRAMME|PROGRAMME_DESC|MAJOR_CODE|MAJOR_DESC|YEAR_OF_STUDY|AREA|CAMPUS_DESC|MODULE_TYPE|LONG_TITLE|UCAS_COURSE|MAJR_COLL_CODE|MAJR_DEPT_CODE|LONG_MAJR_DESC
201314|SO|25161|201314|F7|Physical Sciences & Eng|FP|ECS|ELEC|6115|ELEC6115|A|Active|A|Active|Conventional Generation Technology|Conventional Generation Technology|S1||0|Y|||||0|0|0|Y|||||N|201314||||||||||Conventional Generation Technology||F7|FP|
201314|SO|26723|201314|F7|Physical Sciences & Eng|FP|ECS|COMP|6044|COMP6044|A|Active|A|Active|Independent Interdisciplinary Review|Independent Interdisciplinary Review|S1||0|Y|||||0|0|0|Y|||||N|201314||||||||||Independent Interdisciplinary Review||F7|FP|
